x,y,z 
1492.304,19436.661,954.0
1492.304,19934.969,879.0
1492.304,20433.368,856.0
1492.304,20931.767,831.0
1492.304,21430.166,799.0
1492.304,21928.474,792.0
1492.304,22426.873,781.0
1492.304,22925.272,774.0
1492.304,23423.58,770.0
1492.304,23921.979,762.0
1492.304,24420.378,753.0
1492.304,24918.777,749.0
1492.304,25417.084,736.0
1492.304,25915.483,725.0
1492.304,26413.882,717.0
1492.304,26912.281,707.0
1492.304,27410.589,701.0
1492.304,27908.988,693.0
1492.304,28407.386,685.0
1492.304,28905.785,678.0
1492.304,29404.093,671.0
1492.304,29902.491,664.0
1492.304,30400.89,659.0
1492.304,30899.198,655.0
1492.304,31397.596,652.0
1492.304,31895.995,646.0
1492.304,32394.394,645.0
1492.304,32892.701,643.0
1492.304,33391.1,636.0
1492.304,33889.498,628.0
1492.304,34387.897,630.0
1492.304,34886.204,635.0
1492.304,35384.603,643.0
1492.304,35883.001,648.0
1492.304,36381.4,643.0
1492.304,36879.707,634.0
1492.304,37378.105,640.0
1492.304,37876.503,652.0
1492.304,38374.81,606.0
1492.304,38873.209,576.0
1492.304,39371.607,574.0
1492.304,39870.005,570.0
1492.304,40368.312,567.0
1492.304,40866.71,563.0
1492.304,41365.109,557.0
1492.304,41863.507,554.0
1492.304,42361.813,551.0
1492.304,42860.212,546.0
1492.304,43358.61,542.0
1492.304,43857.008,539.0
1492.304,44355.314,536.0
1492.304,44853.712,531.0
1492.304,45352.11,530.0
1492.304,45850.417,529.0
1492.304,46348.815,532.0
1492.304,46847.213,542.0
1492.304,47345.61,546.0
1492.304,47843.917,539.0
1492.304,48342.314,529.0
1492.304,48840.712,521.0
1492.304,49339.11,521.0
1492.304,49837.416,519.0
1492.304,50335.814,523.0
1492.304,50834.211,521.0
1492.304,51332.609,519.0
1492.304,51830.915,517.0
1492.304,52329.312,515.0
1492.304,52827.71,514.0
1492.304,53326.016,511.0
1492.304,53824.413,515.0
1492.304,54322.81,514.0
1492.304,54821.207,507.0
1492.304,55319.513,502.0
1492.304,55817.91,500.0
1492.304,56316.308,498.0
1492.304,56814.705,494.0
1492.304,57313.01,488.0
1492.304,57811.407,485.0
1492.304,58309.804,481.0
1492.304,58808.201,476.0
1492.304,59306.507,473.0
1492.304,59804.903,470.0
1492.304,60303.3,469.0
1492.304,60801.606,466.0
1492.304,61300.002,462.0
